"","Rank","Team","Points","ID"
"65","63","University of Connecticut","162",986
"66","64","La Salle University","158",986
"67","65","West Virginia University","154",986
"68","66","Duquesne University","148",986
"69","67","University of Delaware","138",986
"70","67","Marist College","138",986
"71","69","University of Portland","135",986
"72","70","Fairfield University","132",986
"73","71","Old Dominion University","126",986
"74","72","Villanova University","124",986
"75","73","Stetson University","123",986
"76","74","Lehigh University","120",986
"77","75","Creighton University","116",986
"78","75","Eastern Michigan University","116",986
"79","77","Colgate University","109",986
"80","78","Saint Mary’s College of California","104",986
"81","79","Canisius College","84",986
"82","80","Robert Morris University – Pennsylvania","69",986
"83","80","George Mason University","69",986
"84","82","Loyola University Maryland","65",986
"85","83","Seattle University","64",986
"86","84","University of Dayton","53",986
"87","85","Merrimack College","50",986
"88","86","Iona College","45",986
"89","87","Drake University","30",986
"90","88","Santa Clara University","25",986
"91","89","Manhattan College","5",986
"92","Rank","School Name","Points",980
"93","1","University of Texas – Austin","544",980
"94","2","Stanford University","535",980
"95","3","University of Tennessee","533",980
"96","4","Princeton University","529",980
"97","5","Brown University","520",980
"98","6","University of California – Berkley","514",980
"99","7","Yale University","511",980
"100","8","University of Washington","496",980
"101","9","University of Michigan","491",980
"102","10","University of Pennsylvania","486",980
"103","11","Syracuse University","485",980
"104","12","Ohio State University","484",980
"105","13","Rutgers University","473",980
"106","14","Indiana University","470",980
"107","15","Duke University","468",980
"108","16","Harvard-Radcliffe","448",980
"109","17","University of Virginia","446",980
"110","18","University of Alabama","436",980
"111","18","Columbia University","436",980
"112","20","University of Miami","419",980
"113","21","Gonzaga University","414",980
"114","22","University of California – Los Angeles","404",980
"115","23","Washington State University","402",980
"116","24","University of Minnesota","398",980
"117","25","University of Central Florida","397",980
"118","26","Oregon State University","395",980
"119","27","Northeastern University","389",980
"120","28","University of Southern California","385",980
"121","29","University of Iowa","379",980
"122","29","Clemson University","379",980
"123","31","University of Notre Dame","378",980
"124","32","Boston University","367",980
"125","33","Dartmouth College","354",980
"126","34","Massachusetts Institute of Technology","337",980
"127","35","University of Wisconsin","331",980
"128","36","University of Rhode Island","330",980
"129","37","Southern Methodist University","319",980
"130","38","University of Tulsa","316",980
"131","39","University of Oklahoma","312",980
"132","40","Michigan State University","306",980
"133","41","University of Louisville","296",980
"134","41","University of Kansas","296",980
"135","43","Boston College","294",980
"136","44","George Washington University","292",980
"137","45","United States Naval Academy","288",980
"138","46","University of California – San Diego","287",980
"139","47","University of North Carolina at Chapel Hill","281",980
"140","48","Kansas State University","259",980
"141","48","University of San Diego","259",980
"142","50","Jacksonville University","251",980
"143","51","University of Massachusetts – Amherst","249",980
"144","52","Georgetown University","248",980
"145","53","California State University – Sacramento","240",980
"146","54","Cornell University","236",980
"147","55","College of the Holy Cross","233",980
"148","56","Bucknell University","225",980
"149","57","Sacred Heart University","202",980
"150","58","Fordham University","195",980
"151","59","Temple University","193",980
"152","60","Saint Joseph's University","187",980
"153","60","Drexel University","187",980
"154","62","Loyola Marymount University","177",980
"155","63","University of Connecticut","162",980
"156","64","La Salle University","158",980
"157","65","West Virginia University","154",980
"158","66","Duquesne University","148",980
"159","67","University of Delaware","138",980
"160","67","Marist College","138",980
"161","69","University of Portland","135",980
"162","70","Fairfield University","132",980
"163","71","Old Dominion University","126",980
"164","72","Villanova University","124",980
"165","73","Stetson University","123",980
"166","74","Lehigh University","120",980
"167","75","Creighton University","116",980
"168","75","Eastern Michigan University","116",980
"169","77","Colgate University","109",980
"170","78","Saint Mary’s College of California","104",980
"171","79","Canisius College","84",980
"172","80","Robert Morris University – Pennsylvania","69",980
"173","80","George Mason University","69",980
"174","82","Loyola University Maryland","65",980
"175","83","Seattle University","64",980
"176","84","University of Dayton","53",980
"177","85","Merrimack College","50",980
"178","86","Iona College","45",980
"179","87","Drake University","30",980
"180","88","Santa Clara University","25",980
"181","89","Manhattan College","5",980
"182","Rank","School Name","Points",968
"183","1","University of Texas – Austin","544",968
"184","2","Stanford University","535",968
"185","3","University of Tennessee","533",968
"186","4","Princeton University","529",968
"187","5","Brown University","520",968
"188","6","University of California – Berkley","514",968
"189","7","Yale University","511",968
"190","8","University of Washington","496",968
"191","9","University of Michigan","491",968
"192","10","University of Pennsylvania","486",968
"193","11","Syracuse University","485",968
"194","12","Ohio State University","484",968
"195","13","Rutgers University","473",968
"196","14","Indiana University","470",968
"197","15","Duke University","468",968
"198","16","Harvard-Radcliffe","448",968
"199","17","University of Virginia","446",968
"200","18","University of Alabama","436",968
"201","18","Columbia University","436",968
"202","20","University of Miami","419",968
"203","21","Gonzaga University","414",968
"204","22","University of California – Los Angeles","404",968
"205","23","Washington State University","402",968
"206","24","University of Minnesota","398",968
"207","25","University of Central Florida","397",968
"208","26","Oregon State University","395",968
"209","27","Northeastern University","389",968
"210","28","University of Southern California","385",968
"211","29","University of Iowa","379",968
"212","29","Clemson University","379",968
"213","31","University of Notre Dame","378",968
"214","32","Boston University","367",968
"215","33","Dartmouth College","354",968
"216","34","Massachusetts Institute of Technology","337",968
"217","35","University of Wisconsin","331",968
"218","36","University of Rhode Island","330",968
"219","37","Southern Methodist University","319",968
"220","38","University of Tulsa","316",968
"221","39","University of Oklahoma","312",968
"222","40","Michigan State University","306",968
"223","41","University of Louisville","296",968
"224","41","University of Kansas","296",968
"225","43","Boston College","294",968
"226","44","George Washington University","292",968
"227","45","United States Naval Academy","288",968
"228","46","University of California – San Diego","287",968
"229","47","University of North Carolina at Chapel Hill","281",968
"230","48","Kansas State University","259",968
"231","48","University of San Diego","259",968
"232","50","Jacksonville University","251",968
"233","51","University of Massachusetts – Amherst","249",968
"234","52","Georgetown University","248",968
"235","53","California State University – Sacramento","240",968
"236","54","Cornell University","236",968
"237","55","College of the Holy Cross","233",968
"238","56","Bucknell University","225",968
"239","57","Sacred Heart University","202",968
"240","58","Fordham University","195",968
"241","59","Temple University","193",968
"242","60","Saint Joseph's University","187",968
"243","60","Drexel University","187",968
"244","62","Loyola Marymount University","177",968
"245","63","University of Connecticut","162",968
"246","64","La Salle University","158",968
"247","65","West Virginia University","154",968
"248","66","Duquesne University","148",968
"249","67","University of Delaware","138",968
"250","67","Marist College","138",968
"251","69","University of Portland","135",968
"252","70","Fairfield University","132",968
"253","71","Old Dominion University","126",968
"254","72","Villanova University","124",968
"255","73","Stetson University","123",968
"256","74","Lehigh University","120",968
"257","75","Creighton University","116",968
"258","75","Eastern Michigan University","116",968
"259","77","Colgate University","109",968
"260","78","Saint Mary’s College of California","104",968
"261","79","Canisius College","84",968
"262","80","Robert Morris University – Pennsylvania","69",968
"263","80","George Mason University","69",968
"264","82","Loyola University Maryland","65",968
"265","83","Seattle University","64",968
"266","84","University of Dayton","53",968
"267","85","Merrimack College","50",968
"268","86","Iona College","45",968
"269","87","Drake University","30",968
"270","88","Santa Clara University","25",968
"271","89","Manhattan College","5",968
"272","Rank","School Name","Points",964
"273","1","University of Texas – Austin","544",964
"274","2","Stanford University","535",964
"275","3","University of Tennessee","533",964
"276","4","Princeton University","529",964
"277","5","Brown University","520",964
"278","6","University of California – Berkley","514",964
"279","7","Yale University","511",964
"280","8","University of Washington","496",964
"281","9","University of Michigan","491",964
"282","10","University of Pennsylvania","486",964
"283","11","Syracuse University","485",964
"284","12","Ohio State University","484",964
"285","13","Rutgers University","473",964
"286","14","Indiana University","470",964
"287","15","Duke University","468",964
"288","16","Harvard-Radcliffe","448",964
"289","17","University of Virginia","446",964
"290","18","University of Alabama","436",964
"291","18","Columbia University","436",964
"292","20","University of Miami","419",964
"293","21","Gonzaga University","414",964
"294","22","University of California – Los Angeles","404",964
"295","23","Washington State University","402",964
"296","24","University of Minnesota","398",964
"297","25","University of Central Florida","397",964
"298","26","Oregon State University","395",964
"299","27","Northeastern University","389",964
"300","28","University of Southern California","385",964
"301","29","University of Iowa","379",964
"302","29","Clemson University","379",964
"303","31","University of Notre Dame","378",964
"304","32","Boston University","367",964
"305","33","Dartmouth College","354",964
"306","34","Massachusetts Institute of Technology","337",964
"307","35","University of Wisconsin","331",964
"308","36","University of Rhode Island","330",964
"309","37","Southern Methodist University","319",964
